규모별,차령,검사대수,등화장치(육안) 부적합건수,제동장치 부적합건수,배기가스 부적합건수,전조등(기기) 부적합건수,원동기 부적합건수
승용경형,4년이하,93582,6468,9,101,4204,130
승용경형,5년,65737,5270,21,89,2884,70
승용경형,6년,83613,5013,67,170,2552,430
승용경형,7년,79585,6351,47,235,3071,601
승용경형,8년,82893,12621,64,519,3039,366
승용경형,9년,88692,18329,99,673,4299,541
승용경형,10년,82895,24926,121,676,5423,546
승용경형,11년,99211,33356,162,945,8698,997
승용경형,12년,56459,16528,116,1144,5245,1100
승용경형,13년,69041,23217,161,1675,7839,1916
승용경형,14년,33758,10300,155,573,3150,741
승용경형,15년 이상,72751,23380,339,2426,9711,1849
승용소형,4년이하,592,52,0,6,49,1
승용소형,5년,678,98,0,5,78,1
승용소형,6년,449,54,0,8,23,6
승용소형,7년,964,121,1,13,93,10
승용소형,8년,961,137,0,12,128,10
승용소형,9년,2187,404,0,30,265,21
승용소형,10년,618,108,0,15,23,4
승용소형,11년,1391,273,1,54,68,16
승용소형,12년,7306,2097,6,448,563,116
승용소형,13년,10285,3236,7,924,900,204
승용소형,14년,8939,2631,25,440,679,188
승용소형,15년 이상,42084,11856,107,4353,4128,1222
승용중형,4년이하,719269,36798,160,2673,27458,1814
승용중형,5년,505156,30042,102,2903,18602,1756
승용중형,6년,431237,36853,175,3264,22143,3228
승용중형,7년,444352,48691,262,3977,29586,4837
승용중형,8년,358828,59866,213,4121,46985,3339
승용중형,9년,388107,83226,262,5405,65623,4850
승용중형,10년,312743,78270,239,8049,53221,3722
승용중형,11년,363543,102644,355,11691,65132,5820
승용중형,12년,275091,75370,373,8239,44714,3517
승용중형,13년,350732,108028,558,11606,63364,5979
승용중형,14년,151217,43278,244,4681,18483,2071
승용중형,15년 이상,635518,193714,1408,37417,88697,13418
승용대형,4년이하,435165,12910,85,1533,11286,1679
승용대형,5년,271125,10696,99,1498,6923,1082
승용대형,6년,218631,14603,97,1345,11869,1624
승용대형,7년,226508,18280,131,1628,15549,2212
승용대형,8년,156551,15047,107,1356,17300,1503
승용대형,9년,173258,20746,137,1731,20256,2277
승용대형,10년,111972,20312,100,1007,14227,1946
승용대형,11년,140222,27807,155,1859,19235,2934
승용대형,12년,96208,17229,151,2199,10826,1147
승용대형,13년,135199,25907,292,3335,17479,1796
승용대형,14년,76182,16222,115,3325,7489,999
승용대형,15년 이상,367526,86414,989,25592,50262,7252
승합경형,4년이하,3759,395,11,27,145,3
승합경형,5년,1238,226,8,15,74,6
승합경형,6년,1577,255,5,36,80,7
승합경형,7년,1732,306,6,42,105,8
승합경형,8년,1364,254,9,81,79,8
승합경형,9년,1452,336,6,62,101,6
승합경형,10년,1429,344,7,86,107,20
승합경형,11년,898,189,7,68,69,5
승합경형,12년,706,137,3,54,69,7
승합경형,13년,512,91,5,65,57,9
승합경형,14년,392,56,2,57,15,6
승합경형,15년 이상,1229,184,7,242,63,24
승합소형,4년이하,1,0,0,0,0,1
승합소형,5년,0,0,0,0,0,0
승합소형,6년,3,0,0,1,0,0
승합소형,7년,5,0,0,0,0,0
승합소형,8년,2,0,0,0,0,0
승합소형,9년,1,0,0,0,0,0
승합소형,10년,0,0,0,0,0,0
승합소형,11년,1,0,0,0,0,0
승합소형,12년,0,0,0,0,0,0
승합소형,13년,1,0,0,0,0,0
승합소형,14년,1,0,0,0,0,0
승합소형,15년 이상,321,54,1,63,32,5
승합중형,4년이하,82918,4543,4,587,5978,436
승합중형,5년,31437,2860,11,375,2479,228
승합중형,6년,30006,2933,12,379,2277,174
승합중형,7년,31848,3477,34,456,2765,284
승합중형,8년,37599,4731,49,841,3335,420
승합중형,9년,84304,12231,82,1228,8319,626
승합중형,10년,97198,12580,73,879,8316,617
승합중형,11년,86330,10890,76,3481,6316,861
승합중형,12년,78618,10553,74,4953,5950,924
승합중형,13년,68918,9628,70,4729,5341,1135
승합중형,14년,50574,6931,56,3522,3832,920
승합중형,15년 이상,128810,17201,239,7933,10332,1716
승합대형,4년이하,22460,543,19,150,373,84
승합대형,5년,8455,351,14,142,211,48
승합대형,6년,9916,643,18,144,264,91
승합대형,7년,9300,1396,38,265,543,114
승합대형,8년,9592,1572,98,581,748,135
승합대형,9년,12931,1863,223,871,1181,148
승합대형,10년,7061,1044,141,394,679,76
승합대형,11년,4736,617,94,267,471,61
승합대형,12년,2195,168,20,146,98,24
승합대형,13년,2150,193,10,137,106,24
승합대형,14년,1834,141,11,133,107,18
승합대형,15년 이상,4180,299,18,177,242,48
화물경형,4년이하,18941,2878,50,107,793,23
화물경형,5년,5884,1251,27,85,236,30
화물경형,6년,5835,1217,20,139,307,36
화물경형,7년,6400,1240,30,290,279,33
화물경형,8년,5383,1220,24,330,258,46
화물경형,9년,5275,1195,23,286,261,41
화물경형,10년,5055,1362,23,349,261,43
화물경형,11년,3185,810,21,268,163,31
화물경형,12년,2558,589,10,229,167,29
화물경형,13년,1975,438,9,297,146,18
화물경형,14년,1361,279,8,193,82,17
화물경형,15년 이상,4375,765,16,961,242,72
화물소형,4년이하,669990,58174,628,1989,40076,1012
화물소형,5년,190671,34558,454,2081,15780,818
화물소형,6년,181677,37930,499,3510,14631,1005
화물소형,7년,175201,35457,472,4855,11884,926
화물소형,8년,173802,36873,879,5068,11391,980
화물소형,9년,157112,37407,1294,6033,10304,1119
화물소형,10년,139856,34564,1170,6833,8982,1102
화물소형,11년,127972,32204,1130,12006,8013,1462
화물소형,12년,126739,35190,1223,18155,8699,2006
화물소형,13년,107943,29937,1071,16344,7896,2028
화물소형,14년,84001,23313,860,13600,6796,1613
화물소형,15년 이상,254825,68172,2560,38931,22985,5085
화물중형,4년이하,52690,9884,48,369,2374,148
화물중형,5년,15278,3873,32,456,787,173
화물중형,6년,29082,6912,70,600,1208,164
화물중형,7년,28280,5713,64,621,908,125
화물중형,8년,30605,5908,84,1208,1082,168
화물중형,9년,30485,5902,122,1585,1145,217
화물중형,10년,24632,4631,108,1188,1044,178
화물중형,11년,24037,4475,106,1475,908,174
화물중형,12년,24031,4448,99,2238,1138,260
화물중형,13년,22641,4193,94,2491,1069,346
화물중형,14년,16411,2884,74,1867,817,266
화물중형,15년 이상,243488,51206,1617,21282,17880,3901
화물대형,4년이하,59375,8412,60,206,2018,117
화물대형,5년,26779,4193,75,216,1243,127
화물대형,6년,33987,5653,139,315,1615,147
화물대형,7년,29954,4990,134,352,1453,148
화물대형,8년,28936,4934,155,872,1527,191
화물대형,9년,28689,4956,97,1223,1613,220
화물대형,10년,25439,4654,96,1148,1479,207
화물대형,11년,30999,5693,161,1371,1911,225
화물대형,12년,30791,5747,162,1724,1946,298
화물대형,13년,26664,4814,158,1594,1465,357
화물대형,14년,20140,3394,96,1258,993,283
화물대형,15년 이상,141806,25366,840,6983,8124,1733
특수경형,4년이하,3,0,0,0,0,0
특수경형,5년,6,0,0,0,0,0
특수경형,6년,14,1,0,0,0,0
특수경형,7년,2,0,0,0,0,0
특수경형,8년,1,0,0,0,0,0
특수경형,9년,13,0,0,0,0,0
특수경형,10년,10,0,0,0,0,0
특수경형,11년,11,1,0,0,0,0
특수경형,12년,7,0,0,2,0,1
특수경형,13년,2,0,0,0,0,0
특수경형,14년,0,0,0,0,0,0
특수경형,15년 이상,10,0,0,0,0,0
특수소형,4년이하,18295,1327,22,138,560,33
특수소형,5년,4423,651,14,140,139,25
특수소형,6년,6368,954,8,128,222,20
특수소형,7년,6557,866,21,144,237,43
특수소형,8년,5294,667,11,152,188,22
특수소형,9년,4194,577,7,118,134,29
특수소형,10년,3619,541,13,136,144,36
특수소형,11년,3730,592,12,290,178,42
특수소형,12년,2525,315,13,264,127,47
특수소형,13년,1418,216,3,145,61,25
특수소형,14년,939,110,1,90,54,15
특수소형,15년 이상,2548,312,10,246,116,36
특수중형,4년이하,4857,477,7,27,63,6
특수중형,5년,1524,205,2,20,47,9
특수중형,6년,3182,493,6,27,78,13
특수중형,7년,2677,375,8,28,63,6
특수중형,8년,2315,323,8,70,43,13
특수중형,9년,1462,228,2,31,52,2
특수중형,10년,1285,183,3,29,34,1
특수중형,11년,1424,212,0,35,34,9
특수중형,12년,1270,187,2,88,22,8
특수중형,13년,678,105,1,62,11,10
특수중형,14년,584,100,3,32,14,4
특수중형,15년 이상,6794,1052,22,438,331,112
특수대형,4년이하,9261,809,2,31,156,20
특수대형,5년,2579,337,1,17,77,9
특수대형,6년,5615,759,10,30,282,18
특수대형,7년,5318,686,2,46,245,16
특수대형,8년,5071,651,6,84,314,28
특수대형,9년,4672,709,5,72,319,14
특수대형,10년,4741,701,6,91,296,10
특수대형,11년,5022,860,12,120,380,22
특수대형,12년,4182,672,9,107,278,20
특수대형,13년,3292,594,7,99,319,19
특수대형,14년,3066,592,5,83,255,37
특수대형,15년 이상,17106,2949,53,783,1453,163
