하수처리장명,위치(도),측정일(시),유입_생물학적 산소요구량(BOD),유입_총유기탄소(TOC),유입_부유물질(SS),유입_총질소(T-N),유입_총인(T-P),유입_대장균수,방류_생물학적 산소요구량(BOD),방류_총유기탄소(TOC),방류_부유물질(SS),방류_총질소(T-N),방류_총인(T-P),방류_대장균수
하수처리장(A),경기도,2025-04-30 9:00,132.97,77.61,193.28,29,2.43,391878,1.6,11.117,3.255,9.677,0.798,713
하수처리장(A),경기도,2025-04-29 9:00,53.36,101.32,188.76,55.39,3.03,963020,2.7,10.654,2.552,9.227,1.163,459
하수처리장(A),경기도,2025-04-28 9:00,219.63,49.74,130.02,32.89,1.61,459277,2.8,11.565,3.04,9.94,1.161,407
하수처리장(A),경기도,2025-04-27 9:00,609.9,73.02,359.96,25.68,2.05,195877,1.4,9.988,2.894,12.327,1.322,711
하수처리장(A),경기도,2025-04-26 9:00,150.4,100.61,72.53,26.03,1.66,371269,1.2,11.146,1.792,17.177,0.837,431
하수처리장(A),경기도,2025-04-25 9:00,31.05,111.8,131.45,72.7,3.77,443765,1.7,14.311,1.764,9.227,0.145,789
하수처리장(A),경기도,2025-04-24 9:00,158.63,70.32,138.78,19.03,2.26,1214352,1.5,11.668,2.205,19.087,1.192,740
하수처리장(A),경기도,2025-04-23 9:00,164.26,70.55,132.27,55.98,3.38,1234782,1.1,10.389,4.09,14.573,0.232,385
하수처리장(A),경기도,2025-04-22 9:00,397.57,126.3,122.09,46.99,2.14,659205,1.5,9.64,2.157,10.703,1.098,612
하수처리장(A),경기도,2025-04-21 9:00,215.9,174.58,90.43,60,3.46,571916,1.2,12.674,2.901,13.273,0.703,1128
하수처리장(A),경기도,2025-04-20 9:00,206.72,63.87,58.81,54.56,3.2,708118,1.2,13.596,3.207,9.764,0.503,264
하수처리장(A),경기도,2025-04-19 9:00,361.54,60.21,86.34,45.43,1.95,269704,1,11.014,2.1,19.005,1.245,333
하수처리장(A),경기도,2025-04-18 9:00,208.79,161.24,97.66,19.75,3.15,673819,1.3,13.286,3.76,12.327,0.635,369
하수처리장(A),경기도,2025-04-17 9:00,115.89,132.87,126.16,54.16,2.6,249785,0.9,11.324,2.1,15.346,0.984,282
하수처리장(A),경기도,2025-04-16 9:00,74.24,66.3,203.28,29.39,3.06,492629,2,14.29,2.1,10.888,1.538,279
하수처리장(A),경기도,2025-04-15 9:00,39.31,49.43,298.82,41.31,3.28,912415,1.6,13.186,3.653,14.058,0.997,1585
하수처리장(A),경기도,2025-04-14 9:00,206.87,70.43,307.24,49.34,4.19,706423,7.2,12.272,2.285,12.119,0.497,264
하수처리장(A),경기도,2025-04-13 9:00,89.31,60.54,217.48,58.21,2.85,331432,1.2,14.515,2.285,19.087,1.285,188
하수처리장(A),경기도,2025-04-12 9:00,104.49,96.13,143.12,24.95,3.49,704839,1.8,11.336,2.171,9.34,0.948,772
하수처리장(A),경기도,2025-04-11 9:00,181.53,45,159.62,26.5,2.77,760722,1.1,13.788,2.414,10.966,0.16,262
하수처리장(A),경기도,2025-04-10 9:00,219.44,96.78,140.12,30.59,2.48,366317,2.7,10.021,2.949,9.867,0.62,1226
하수처리장(A),경기도,2025-04-09 9:00,153.72,221.6,70.36,57.34,3.81,332019,1.4,10.313,2.2,11.332,1.149,204
하수처리장(A),경기도,2025-04-08 9:00,104.19,59.98,88.09,54.69,2.38,450174,4.1,19.565,2.484,8.343,0.172,772
하수처리장(A),경기도,2025-04-07 9:00,376.47,84.42,125.05,59.95,1.6,902784,2.6,11.6,2,8.767,0.232,238
하수처리장(A),경기도,2025-04-06 9:00,185.71,78.97,108.84,37.05,3.16,1900000,1.1,12.348,2.5,9.713,0.949,870
하수처리장(A),경기도,2025-04-05 9:00,228,76.01,195.17,23.71,2.59,404209,2.7,11.564,2.084,12.097,1.149,381
하수처리장(A),경기도,2025-04-04 9:00,68.19,93.08,62.62,34.25,2.31,412765,1.1,11.816,2.178,8.343,0.519,2148
하수처리장(A),경기도,2025-04-03 9:00,89.19,187.99,52.67,47.51,2.7,510657,3.5,12.623,2.904,6.051,0.339,284
하수처리장(A),경기도,2025-04-02 9:00,306.98,28.31,277.06,62.94,1.75,414647,1,14.014,2.2,19.715,0.554,347
하수처리장(A),경기도,2025-04-01 9:00,74.13,161.2,266.6,59.01,1.99,1080794,1.2,12.621,2.764,14.539,1.085,590
하수처리장(A),경기도,2025-03-31 9:00,50.74,62.69,148.39,14.86,3.69,579428,1.4,11.257,3.142,7.886,0.201,379
하수처리장(A),경기도,2025-03-30 9:00,194.7,153.44,251.27,24.23,3.09,988308,1.6,14.262,4.218,10.999,0.267,199
하수처리장(A),경기도,2025-03-29 9:00,162.23,59.39,78.1,37.97,2.12,512551,1.5,13.367,2.032,5.783,1.027,903
하수처리장(A),경기도,2025-03-28 9:00,86.39,77.46,91.8,44.79,1.84,665864,4.1,11.103,3.422,10.447,1.464,239
하수처리장(A),경기도,2025-03-27 9:00,495.75,135.68,236.42,31.39,4.08,639569,1.9,12.492,2.5,14.543,0.213,854
하수처리장(A),경기도,2025-03-26 9:00,213.45,82.51,133.21,29.6,2.84,263737,2.1,11.518,2,11.484,1.203,545
하수처리장(A),경기도,2025-03-25 9:00,57.23,126.33,148.84,38.65,2.49,341027,0.9,13.369,2.728,9.884,0.145,199
하수처리장(A),경기도,2025-03-24 9:00,74.92,58.75,241.68,17.3,4.19,494903,1.4,11.591,1.729,10.795,0.629,294
하수처리장(A),경기도,2025-03-23 9:00,906,29.84,192.05,33.95,5.76,730898,2,11.46,2.817,13.432,0.49,159
하수처리장(A),경기도,2025-03-22 9:00,210.54,165.99,189.79,26.91,3.72,565567,4.1,10.73,2.1,5.386,1.64,868
하수처리장(A),경기도,2025-03-21 9:00,94.24,52.81,98.99,45.12,3.38,1031126,2.1,11.107,2.1,9.553,1.322,961
하수처리장(A),경기도,2025-03-20 9:00,146.32,55.8,141.01,32.53,1.42,541461,2.6,23.269,2,10.228,1.359,745
하수처리장(A),경기도,2025-03-19 9:00,84.33,80.25,117.15,41.31,3.85,258165,1.2,11.112,2.645,8.679,0.179,380
하수처리장(A),경기도,2025-03-18 9:00,137.95,96.39,86.05,46.61,1.62,1207930,1.6,11.324,2.1,11.323,0.635,213
하수처리장(A),경기도,2025-03-17 9:00,426.01,16.04,134.01,28.9,1.89,933212,2.6,13.379,3.03,9.227,1.64,359
하수처리장(A),경기도,2025-03-16 9:00,119.11,56.19,119.91,24.75,3.94,523906,5.8,10.736,2.599,11.575,0.555,684
하수처리장(A),경기도,2025-03-15 9:00,55.86,88.12,63.08,30.02,2.63,481736,2.6,10.824,2.365,10.78,0.895,149
하수처리장(A),경기도,2025-03-14 9:00,71.59,110.25,75.94,36.21,2.08,395303,1,12.303,2.1,9.724,0.295,1284
하수처리장(A),경기도,2025-03-13 9:00,335.39,116.32,279.47,17.25,5.25,242381,4.1,13.317,2.1,19.005,0.73,472
하수처리장(A),경기도,2025-03-12 9:00,140.16,84.15,467.54,32.56,1.9,535978,4.3,11.104,2.1,9.713,0.177,1671
하수처리장(A),경기도,2025-03-11 9:00,45.62,85.67,250.07,47.6,2.91,496118,2.1,11.611,2.549,9.874,0.16,2148
하수처리장(A),경기도,2025-03-10 9:00,423.5,114.83,162.27,17.73,3.96,486386,1.2,10.902,2,12.066,0.461,1195
하수처리장(A),경기도,2025-03-09 9:00,269.02,40.38,48,20.6,2.1,712247,2.5,10.749,2.1,11.907,1.418,1234
하수처리장(A),경기도,2025-03-08 9:00,110.37,101.44,145.51,24.85,1.07,193887,2.2,14.207,2.81,10.966,0.306,458
하수처리장(A),경기도,2025-03-07 9:00,245.49,117.3,253.14,46.23,1.76,712642,5.9,11.688,2.009,13.036,1.426,375
하수처리장(A),경기도,2025-03-06 9:00,112.57,81.88,418.15,33.35,4.14,315835,4.1,17.689,2.886,8.858,1.027,269
하수처리장(A),경기도,2025-03-05 9:00,124.53,38.03,82.71,19.52,1.99,554266,2.7,13.367,2.1,11.056,0.727,464
하수처리장(A),경기도,2025-03-04 9:00,250.41,51.87,167.63,27.56,2.14,616162,2.1,11.298,2.747,14.573,1.314,566
하수처리장(A),경기도,2025-03-03 9:00,77.41,73.08,342.33,39.5,6.37,348223,1.2,19.33,2.1,11.663,1.203,448
하수처리장(A),경기도,2025-03-02 9:00,146.99,156.33,173.63,16.7,1.49,598414,4.8,11.46,3.725,9.336,0.331,65
하수처리장(A),경기도,2025-03-01 9:00,84.85,119.76,111.38,44.68,3.66,1356005,1.1,10.328,2,9.68,0.172,748
하수처리장(A),경기도,2025-02-28 9:00,120.97,145.76,197.58,36.62,3.23,1259891,1.2,12.863,3.49,7.296,0.117,1177
하수처리장(A),경기도,2025-02-27 9:00,278.65,72.03,157.32,30.74,2.27,661391,1.2,10.765,3.072,6.412,0.169,266
하수처리장(A),경기도,2025-02-26 9:00,161.56,110.5,118.45,40.54,3.52,872163,1.4,16.411,2.606,13.071,0.403,500
