시점	합계	용도별	용도별	용도별	용도별	용도별	면적별	면적별	면적별	면적별	면적별	면적별	면적별	면적별	층수별	층수별	층수별	층수별	층수별	층수별	층수별	층수별
시점	소계	주거용	상업용	공업용	교육및사회용	기타	1백㎡미만	1백㎡~2백㎡미만	2백㎡~3백㎡미만	3백㎡~5백㎡미만	5백㎡~1천㎡미만	1천㎡~3천㎡미만	3천㎡~1만㎡미만	1만㎡이상	1층	2-4층	5층	6-10층	11-20층	21-30층	31층이상	그외기타
2010	656931	494604	140987	3224	14418	3698	150584	167706	111097	92537	75462	33124	18004	8417	151902	424150	45434	19034	12571	2849	217	774
2011	651990	492054	138436	3177	15070	3253	145990	159657	108431	95908	80051	34528	18519	8906	148263	419361	47460	19991	13062	2917	233	703
2012	646891	494704	129391	3117	15562	4117	141919	156333	106963	97124	81744	34860	18885	9063	143924	414488	50039	21124	13390	2973	242	711
2013	640239	488833	128451	3062	15767	4126	137454	152733	105554	97906	82970	35149	19260	9213	139099	409184	52160	22041	13752	3030	248	725
2014	634201	483411	127780	3008	15940	4062	133075	148803	104253	98779	84911	35376	19659	9345	134486	403721	53786	24008	14151	3061	258	730
2015	628947	478197	127678	2957	16065	4050	129741	144551	102355	99710	87251	35705	20077	9557	130737	397336	56012	26173	14475	3183	269	762
2016	620838	470404	127423	2856	16125	4030	125072	139164	99954	100808	89876	35847	20358	9759	125574	388980	58383	28748	14809	3266	305	773
2017	611368	461294	127080	2761	16209	4024	119824	133792	97819	101796	91528	35892	20721	9996	119890	381003	59931	30805	15282	3355	340	762
2018	604726	454822	126950	2681	16285	3988	115845	129544	96477	102736	92860	36153	20953	10158	115629	374930	61460	32548	15602	3425	360	772
2019	599605	449972	126707	2600	16377	3949	112708	126679	95002	103244	94014	36264	21320	10374	112290	369808	62891	33829	16080	3538	394	775
2020	593194	443800	126365	2522	16346	4161	109446	123750	93344	103192	94705	36355	21794	10608	108763	364153	63942	34746	16641	3722	443	784
2021	585636	435702	126931	2441	16309	4253	106700	121671	93479	102051	93186	35651	22049	10837	105363	357211	65073	35577	17141	3943	503	813
2022	581257	430608	127517	2364	16313	4455	103960	118046	90153	102835	95947	36743	22550	11023	102968	352763	66016	36553	17529	4045	532	851
2023	579408	428325	127876	2322	16367	4518	102441	116806	89734	103060	96458	36986	22733	11190	101428	350553	66712	37274	17881	4105	578	877
2024	577221	425626	128265	2288	16466	4576	101292	115748	89051	102944	96677	37197	22971	11341	100313	348208	67137	37724	18188	4151	601	899
2025	574058	422239	128540	2232	16463	4584	99698	114659	88331	102686	96736	37249	23200	11499	98594	345769	67451	38072	18405	4222	635	910
