연도,학교급별,교실,계단복도,운동장,체육시설,놀이시설,실험실습실,건물,통로,교외활동,부속시설,가정기타,등하굣길,기타,합계
2009,유,1988,337,317,81,627,12,135,미집계,미집계,331,미집계,52,214,4094
2009,초,3943,4320,8369,2128,1291,247,909,미집계,미집계,1831,미집계,159,1135,24332
2009,중,3282,3485,9024,2685,13,130,662,미집계,미집계,1290,미집계,150,969,21690
2009,고,2014,2476,7928,3561,2,348,381,미집계,미집계,1031,미집계,108,1092,18941
2009,특수,71,44,34,29,9,4,11,미집계,미집계,22,미집계,2,32,258
2009,기타,15,33,68,20,2,4,3,미집계,미집계,11,미집계,1,15,172
2010,유,2205,442,341,104,552,1,113,미집계,미집계,411,미집계,33,328,4530
2010,초,4858,5192,8674,2596,1044,212,802,미집계,미집계,2068,미집계,237,1718,27401
2010,중,3864,4066,9662,3164,12,154,431,미집계,미집계,1455,미집계,193,1199,24200
2010,고,2176,2738,9064,3890,7,338,312,미집계,미집계,1120,미집계,129,1087,20861
2010,특수,101,53,23,27,7,1,10,미집계,미집계,53,미집계,2,39,316
2010,기타,36,28,70,19,1,3,3,미집계,미집계,12,미집계,0,16,188
2011,유,2606,507,323,105,676,3,142,미집계,미집계,499,미집계,32,504,5397
2011,초,5350,5717,9343,3122,1219,283,832,미집계,미집계,2401,미집계,299,2038,30604
2011,중,3957,4456,10675,3673,13,202,416,미집계,미집계,1503,미집계,207,1375,26477
2011,고,2212,3087,10256,4352,9,394,293,미집계,미집계,1326,미집계,187,1338,23454
2011,특수,97,63,25,43,13,3,4,미집계,미집계,57,미집계,3,36,344
2011,기타,25,35,54,41,1,5,7,미집계,미집계,12,미집계,4,8,192
2012,유,3247,미집계,1192,미집계,미집계,미집계,미집계,712,385,831,11,미집계,미집계,6378
2012,초,5922,미집계,13628,미집계,미집계,미집계,미집계,6739,1679,5811,64,미집계,미집계,33843
2012,중,4604,미집계,16123,미집계,미집계,미집계,미집계,5328,1850,5494,63,미집계,미집계,33462
2012,고,2767,미집계,13057,미집계,미집계,미집계,미집계,3402,1737,4980,97,미집계,미집계,26040
2012,특수,122,미집계,49,미집계,미집계,미집계,미집계,68,38,100,4,미집계,미집계,381
2012,기타,24,미집계,92,미집계,미집계,미집계,미집계,42,27,75,1,미집계,미집계,261
2013,유,3493,미집계,1436,미집계,미집계,미집계,미집계,760,393,925,22,미집계,미집계,7029
2013,초,6375,미집계,12821,미집계,미집계,미집계,미집계,7284,1760,6828,59,미집계,미집계,35127
2013,중,4659,미집계,15905,미집계,미집계,미집계,미집계,5753,1823,6197,63,미집계,미집계,34400
2013,고,2831,미집계,13422,미집계,미집계,미집계,미집계,3709,1875,5956,68,미집계,미집계,27861
2013,특수,122,미집계,59,미집계,미집계,미집계,미집계,74,30,114,1,미집계,미집계,400
2013,기타,32,미집계,109,미집계,미집계,미집계,미집계,48,18,63,1,미집계,미집계,271
2014,유,3834,미집계,1561,미집계,미집계,미집계,미집계,796,406,990,15,미집계,미집계,7602
2014,초,6745,미집계,13677,미집계,미집계,미집계,미집계,7078,1543,7993,39,미집계,미집계,37075
2014,중,4767,미집계,19428,미집계,미집계,미집계,미집계,5818,1776,7215,97,미집계,미집계,39101
2014,고,3168,미집계,16042,미집계,미집계,미집계,미집계,3846,1740,7050,95,미집계,미집계,31941
2014,특수,185,미집계,70,미집계,미집계,미집계,미집계,76,48,134,1,미집계,미집계,514
2014,기타,49,미집계,116,미집계,미집계,미집계,미집계,39,21,69,0,미집계,미집계,294
2015,유,3907,미집계,1549,미집계,미집계,미집계,미집계,769,432,1047,18,미집계,미집계,7722
2015,초,7065,미집계,13450,미집계,미집계,미집계,미집계,7468,1518,8477,53,미집계,미집계,38031
2015,중,4824,미집계,19238,미집계,미집계,미집계,미집계,5667,1743,8304,78,미집계,미집계,39854
2015,고,3117,미집계,17149,미집계,미집계,미집계,미집계,3676,1844,7834,84,미집계,미집계,33704
2015,특수,159,미집계,57,미집계,미집계,미집계,미집계,75,36,114,3,미집계,미집계,444
2015,기타,59,미집계,116,미집계,미집계,미집계,미집계,69,44,79,1,미집계,미집계,368
2016,유,3813,미집계,1494,미집계,미집계,미집계,미집계,737,502,1064,9,미집계,미집계,7619
2016,초,7332,미집계,12843,미집계,미집계,미집계,미집계,7696,1583,9070,24,미집계,미집계,38548
2016,중,4473,미집계,17306,미집계,미집계,미집계,미집계,5440,1594,8319,27,미집계,미집계,37159
2016,고,3163,미집계,15312,미집계,미집계,미집계,미집계,3687,1650,8074,57,미집계,미집계,31943
2016,특수,185,미집계,53,미집계,미집계,미집계,미집계,77,45,110,2,미집계,미집계,472
2016,기타,58,미집계,116,미집계,미집계,미집계,미집계,44,28,89,1,미집계,미집계,336
2017,유,3846,미집계,1486,미집계,미집계,미집계,미집계,746,484,1145,미집계,미집계,미집계,7707
2017,초,8305,미집계,13618,미집계,미집계,미집계,미집계,8327,1703,9708,미집계,미집계,미집계,41661
2017,중,4878,미집계,16032,미집계,미집계,미집계,미집계,5292,1693,8842,미집계,미집계,미집계,36737
