기준연월,시도명,시군구명,읍면동명,계,남자,여자,0-10세 남자,11-20세 남자,21-30세 남자,31-40세 남자,41-50세 남자,51-60세 남자,61-70세 남자,71-80세 남자,81-90세 남자,91-100세 남자,101세 이상 남자,0-10세 여자,11-20세 여자,21-30세 여자,31-40세 여자,41-50세 여자,51-60세 여자,61-70세 여자,71-80세 여자,81-90세 여자,91-100세 여자,101세 이상 여자
2026-05-31,경상남도,창원시 의창구,동읍,18166,9244,8922,308,769,1004,891,1105,1990,1926,947,291,13,0,290,684,643,605,1083,1987,1841,1068,615,106,0
2026-05-31,경상남도,창원시 의창구,북면,44335,22327,22008,2634,2690,1504,3204,4511,3038,3125,1287,308,26,0,2444,2544,1290,3235,4251,3174,3033,1308,605,123,1
2026-05-31,경상남도,창원시 의창구,대산면,6447,3299,3148,96,158,245,253,390,585,897,481,182,12,0,73,139,146,187,273,522,802,574,361,69,2
2026-05-31,경상남도,창원시 의창구,의창동,47000,23605,23395,1734,2325,2680,3103,3684,4175,3831,1672,376,25,0,1665,2088,2175,2761,3516,4568,4066,1724,720,111,1
2026-05-31,경상남도,창원시 의창구,팔룡동,26726,13569,13157,908,1332,1856,2056,2063,2708,1861,650,118,17,0,973,1167,1490,1807,2029,2847,1839,694,265,46,0
2026-05-31,경상남도,창원시 의창구,명곡동,37635,19016,18619,945,1578,2386,2360,2414,3801,3645,1456,402,27,2,899,1416,1893,1993,2356,4123,3642,1578,615,104,0
2026-05-31,경상남도,창원시 의창구,봉림동,28115,14947,13168,414,951,2803,1963,1808,2586,2859,1239,294,30,0,443,886,1850,1273,1482,2529,2782,1279,555,84,5
2026-05-31,경상남도,창원시 성산구,반송동,37648,18885,18763,1331,2342,2135,2153,2921,3497,3030,1204,252,20,0,1334,2058,1708,1942,3190,3861,3041,1145,416,66,2
2026-05-31,경상남도,창원시 성산구,용지동,24715,12499,12216,866,1210,1575,1888,1910,2073,2034,735,191,17,0,800,1050,1285,1581,1828,2473,2065,759,316,59,0
2026-05-31,경상남도,창원시 성산구,중앙동,44126,23814,20312,2063,1816,3912,4696,3713,3672,2809,923,190,20,0,1960,1641,2647,3685,3110,3570,2468,842,321,65,3
2026-05-31,경상남도,창원시 성산구,상남동,25458,12659,12799,763,1482,1656,1706,1823,2320,2192,575,123,19,0,775,1321,1301,1528,2052,2808,2141,573,253,47,0
2026-05-31,경상남도,창원시 성산구,사파동,42603,21122,21481,1221,2110,2760,3290,3006,3820,3571,1111,220,13,0,1226,1864,2208,2817,3226,4665,3736,1125,514,100,0
2026-05-31,경상남도,창원시 성산구,가음정동,38246,19220,19026,1579,1786,2411,3150,2833,3324,3069,877,186,5,0,1614,1713,1792,2826,2803,3982,2940,927,360,68,1
2026-05-31,경상남도,창원시 성산구,성주동,26494,13779,12715,1170,1340,1744,2108,1943,2689,2151,546,83,5,0,1032,1252,1334,1834,1851,2862,1881,472,160,37,0
2026-05-31,경상남도,창원시 성산구,웅남동,6630,3515,3115,121,296,538,370,495,655,643,287,104,6,0,113,258,249,249,412,629,675,342,164,22,2
2026-05-31,경상남도,창원시 마산합포구,구산면,3745,1915,1830,51,67,87,120,207,317,568,369,122,7,0,26,45,55,80,104,240,559,403,282,36,0
2026-05-31,경상남도,창원시 마산합포구,진동면,11176,5722,5454,355,561,396,483,1012,1001,1073,653,173,15,0,322,506,321,418,858,813,1076,723,353,63,1
2026-05-31,경상남도,창원시 마산합포구,진북면,2994,1591,1403,18,51,88,83,144,287,496,309,107,8,0,16,47,61,38,93,219,382,291,214,42,0
2026-05-31,경상남도,창원시 마산합포구,진전면,3541,1770,1771,18,54,77,96,123,309,550,378,149,16,0,17,37,50,57,79,227,497,391,327,89,0
2026-05-31,경상남도,창원시 마산합포구,현동,14699,7291,7408,764,898,511,891,1571,1057,948,506,134,11,0,708,865,449,954,1474,1049,1041,614,211,42,1
2026-05-31,경상남도,창원시 마산합포구,가포동,5255,2681,2574,250,138,300,634,395,355,391,191,23,4,0,201,129,296,536,360,448,361,173,64,6,0
2026-05-31,경상남도,창원시 마산합포구,월영동,40366,19810,20556,1927,2226,2206,2482,3340,3113,2667,1401,417,31,0,1835,2191,1712,2432,3291,3450,3140,1730,682,90,3
2026-05-31,경상남도,창원시 마산합포구,문화동,10465,5226,5239,136,408,970,486,641,865,870,609,224,17,0,144,455,641,348,544,809,1075,790,375,56,2
2026-05-31,경상남도,창원시 마산합포구,반월중앙동,12729,6101,6628,238,597,578,560,882,1135,1107,690,293,21,0,239,562,472,495,884,1145,1263,961,515,90,2
2026-05-31,경상남도,창원시 마산합포구,완월동,8018,3889,4129,110,313,387,369,455,769,796,509,169,11,1,110,292,334,307,455,735,944,578,321,53,0
2026-05-31,경상남도,창원시 마산합포구,자산동,8596,4119,4477,132,384,398,341,539,736,814,605,163,7,0,101,322,296,258,544,811,1059,683,352,49,2
2026-05-31,경상남도,창원시 마산합포구,교방동,18470,9066,9404,848,838,746,1329,1497,1411,1285,808,289,15,0,807,768,636,1315,1367,1314,1575,1070,471,81,0
2026-05-31,경상남도,창원시 마산합포구,오동동,17499,8680,8819,299,564,802,914,1414,1585,1660,1004,401,37,0,311,522,629,741,1159,1372,1910,1347,735,92,1
2026-05-31,경상남도,창원시 마산합포구,합포동,6256,3125,3131,154,210,255,375,541,561,551,339,130,8,1,158,176,183,321,399,475,684,453,241,41,0
2026-05-31,경상남도,창원시 마산합포구,산호동,10958,5451,5507,202,433,571,626,833,985,944,630,209,18,0,208,409,455,491,696,932,1150,795,328,43,0
2026-05-31,경상남도,창원시 마산회원구,내서읍,57006,28568,28438,1415,3531,3264,2601,4235,6067,4794,2035,578,48,0,1380,3093,2480,2299,4532,6292,4685,2348,1151,176,2
2026-05-31,경상남도,창원시 마산회원구,회원1동,9097,4450,4647,98,312,338,378,614,814,926,683,268,19,0,101,267,293,246,490,679,1160,912,443,55,1
2026-05-31,경상남도,창원시 마산회원구,회원2동,9182,4495,4687,308,364,361,642,633,706,805,497,175,4,0,293,318,339,594,581,687,922,642,268,43,0
